"","RT01","RT02","RT03","RT04","RT05","RT06","RT07","RT08","RT09","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20","RT21","RT22","RT23","RT24","RT25","RT26","RT27","RT28","RT29","RT30","RT31","RT32","RT33","RT34","RT35","RT36","RT37","RT38","RT39","RT40","RT41","RT42","RT43","RT44","RT45","RT46","RT47","RT48"
"hsa-miR-23a-3p",1,1,2,14,3,6,104,5,2,5,2,0,4,0,2,0,6,0,3,1,0,0,1,1,36,1,2,2,4,1,1,0,3,5,0,2,1,1,0,1,0,1,3,0,2,2,6,3
"hsa-miR-24-3p",1,1,1,0,3,7,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,6,0,0,1,4,3,0,0,3,0,0,0,1,0,3,1,3,0
"hsa-miR-25-3p",45,23,9,40,21,53,88,40,5,32,10,14,8,2,7,0,33,7,16,5,6,6,9,21,137,6,17,29,7,15,21,1,29,48,19,16,8,4,44,33,5,12,16,4,28,2,31,23
"hsa-miR-26a-2-3p",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-26a-5p",21,132,52,244,84,212,442,204,13,92,63,36,54,13,18,0,169,7,35,10,22,27,18,15,1704,20,70,94,85,30,124,7,115,243,70,117,40,5,80,83,20,29,46,39,104,16,294,77
"hsa-miR-26b-3p",1,0,1,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"hsa-miR-27a-3p",2,6,5,7,1,5,36,8,0,1,3,1,2,0,0,0,4,0,4,0,1,0,1,1,28,0,1,7,3,1,2,0,5,9,0,3,1,0,3,1,0,0,1,1,7,2,10,1
"hsa-miR-27a-5p",1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"hsa-miR-27b-3p",4,30,7,52,28,32,348,36,2,31,15,7,16,2,1,0,57,2,14,8,4,5,9,5,277,4,18,19,21,11,23,2,23,72,10,17,9,0,28,12,7,3,12,14,21,13,138,18
"hsa-miR-28-3p",11,39,12,50,21,69,38,28,1,30,18,4,7,1,7,0,46,2,9,0,2,7,2,10,244,1,8,13,15,4,30,0,17,42,8,17,6,0,15,13,2,6,9,14,12,11,12,12
